CANONICAL_SMILES CMPD_CHEMBLID PCHEMBL_VALUE ASSAY_CHEMBLID ASSAY_TYPE PREF_NAME JOURNAL_YEAR_VOLUME_ISSUE_FIRST_PAGE
Clc1cnc(Oc2ccccc2C(=O)NCCN3CCCC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL1924011 6.2 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
Cc1cccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)c1 CHEMBL53991 6.1 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
FC(F)(F)c1cccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)c1 CHEMBL50460 6.1 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
S(Sc1nc2ccccc2s1)c3nc4ccccc4s3 CHEMBL508112 6.03 CHEMBL1909124 B C-C:chemokine:receptor:type:2 
Clc1ccc(NC(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL300025 5.8 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
CCCCc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL252186 5.77 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
CC(=O)Nc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL299379 5.54 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1 CHEMBL134074 5.2 CHEMBL651930 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Brc1ccc(cc1)C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34 CHEMBL52956 5.15 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
OC(=O)c1c(F)cccc1Oc2ccc(cc2NS(=O)(=O)c3ccc(Cl)cc3)C(F)(F)F CHEMBL1170391 5 CHEMBL1174377 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3ccc(Cl)cc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417123 8.1 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
OC(=O)c1cncc(Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3)c1 CHEMBL1171011 8 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CCOc1cncc(c1)c2ccc3C(CCc3c2)N[C@@H]4CC[C@](C4)(C(C)C)C(=O)N5CCc6ccc(cc6C5)C(F)(F)F CHEMBL3417227 8 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
Cc1nnnn1Cc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL2207084 8 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Clc1cnc(Oc2ccc(cc2)C(=O)NCCN3CCCCC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL1924004 7.89 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
Cn1nnnc1Cc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL2207085 7.8 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccc6C#N)C(F)(F)F CHEMBL3650373 7.5 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
OC(=O)c1ccccc1Oc2ccc(F)cc2NS(=O)(=O)c3ccc(Cl)cc3 CHEMBL1169653 7.4 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 7.3 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1 CHEMBL134074 7.23 CHEMBL875065 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
OC(=O)c1ccccc1Oc2c(F)cc(cc2NS(=O)(=O)c3ccc(Cl)cc3)C(F)(F)F CHEMBL1171006 7.2 CHEMBL1174376 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
Oc1ccc2[nH]cc(C3CCN(C[C@@H]4CC[C@@H](CC4)NC(=O)\C=C\c5ccc(Cl)c(Cl)c5)CC3)c2c1 CHEMBL400698 7.1 CHEMBL655702 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2001_11_16_2177
FC(F)(F)c1cccc(c1)C(=O)NCC(=O)NC2CCN(CC2)C3CCC(CC3)c4ccc5OCOc5c4 CHEMBL3359301 7.05 CHEMBL3383568 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2014_24_23_5377
Clc1ccc(Cn2ccnn2)c(NS(=O)(=O)c3cccc(Cl)c3)c1 CHEMBL2207088 7 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(cnn6)C(F)(F)F CHEMBL3650350 6.98 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Clc1ccc(\C=C\C(=O)N[C@@H]2CC[C@H](CN3CCC(CC3)c4c[nH]c5ccccc45)CC2)cc1Cl CHEMBL399472 6.9 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1cnc(Oc2cccnn2)c(NS(=O)(=O)c3ccc(Cl)c(Cl)c3)c1 CHEMBL1170187 6.7 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CN(Cc1ccc(NC(=O)C2=Cc3cc(ccc3CCC2)c4ccc(C)cc4)cc1)C5CCOCC5 CHEMBL131243 6.64 CHEMBL651927 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Cc1ccc(CN2CC[C@H](C2)NC(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c(C)c1 CHEMBL337246 6.47 CHEMBL857784 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ccnc(n6)C(F)(F)F CHEMBL3650372 6.35 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Ic1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL299322 6.33 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL299855 6.28 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1cccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)c1 CHEMBL53476 6.25 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Oc1ccc2[nH]cc(C3C[C@H]4CC[C@@H](C3)N4CCCCCNC(=O)\C=C\c5ccc(Cl)c(Cl)c5)c2c1 CHEMBL305470 6.2 CHEMBL655704 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2001_11_16_2177
Cc1ccc(CN2CC[C@H](C2)NC(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c(C)c1 CHEMBL337246 6.18 CHEMBL651926 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
OC(=O)c1ccccc1Oc2ccc(cc2NS(=O)(=O)c3ccc(Cl)cc3)C(F)(F)F CHEMBL1171586 6.1 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
Cc1cccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)c1 CHEMBL53991 6.1 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
O=C(NCCCCCN1CCC(CC1)c2c[nH]c3ccccc23)\C=C\c4ccccc4 CHEMBL53402 6.06 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccc6C(F)(F)F)C#N CHEMBL3650381 5.98 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
O=C(NCCCCCN1CCC(CC1)c2c[nH]c3ccccc23)\C=C\c4ccc(cc4)c5ccccc5 CHEMBL53131 5.84 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
Cc1ccc(CN2CC[C@H](C2)NC(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c(C)c1 CHEMBL337246 5.74 CHEMBL651931 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Clc1ccc(\C=C\C(=O)NCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL297950 5.6 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Cc1ccc(CN2CC[C@H](C2)NC(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c(C)c1 CHEMBL337246 5.59 CHEMBL651924 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
O=C(NCCCCCN1CCC(CC1)c2c[nH]c3ccccc23)\C=C\c4ccc(cc4)C#N CHEMBL53557 5.55 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
Clc1ccc(cc1Cl)C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34 CHEMBL433081 5.29 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
O=C(NCCCCCN1CCC(CC1)c2c[nH]c3ccccc23)c4ccc(cc4)c5ccccc5 CHEMBL53819 5.27 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
O=C(NCCCCCN1CCC(CC1)c2c[nH]c3ccccc23)c4ccc(cc4)c5ccccc5 CHEMBL53819 5.26 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Brc1ccc(cc1)C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34 CHEMBL52956 5.14 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
COc1cc2CCC(N[C@@H]3CC[C@](C3)(C(C)C)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F)c2cc1OC CHEMBL3417124 8.92 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3cc(Cl)ccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417117 8.8 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
OC(=O)c1c(F)cccc1Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL1170827 8.7 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CC(C)[C@@]1(CC[C@H](C1)NC2CC(C)c3cc(Br)ccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417231 8.7 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
[Cl-].Cc1ccc(cc1)c2ccc3CCCC(=Cc3c2)C(=O)Nc4ccc(C[N+](C)(C)C5CCOCC5)cc4 CHEMBL41275 8.7 CHEMBL3591342 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._2015_23_14_4034
FC(F)(F)c1cc(ccc1Cl)S(=O)(=O)Nc2cc(Cl)cnc2Oc3ccc(cc3)C(=O)NCCN4CCCCC4 CHEMBL1924014 8.52 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
CC(C)[C@@]1(CC[C@H](C1)NC2CC(C)c3ccccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417230 8.47 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
CC(C)[C@@]1(CC[C@H](C1)N[C@H]2C[C@H](C)c3cc(Br)ccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417238 8.34 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3c(N)cccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417113 8.34 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
OC(=O)c1ccccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3cccc(Cl)c3 CHEMBL1171614 8.1 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
Cc1cc(Oc2ccc(cc2)C(=O)NCCN3CCCC3)c(NS(=O)(=O)c4ccc(Cl)c(c4)C(F)(F)F)cc1Cl CHEMBL1924018 8.1 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
[Cl-].Cc1ccc(cc1)c2ccc3CCCC(=Cc3c2)C(=O)Nc4ccc(C[N+](C)(C)C5CCOCC5)cc4 CHEMBL41275 8.01 CHEMBL651927 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
C[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccn6)C(F)(F)F CHEMBL3650407 8 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Clc1ccc(cc1Cl)S(=O)(=O)Nc2cc(Cl)c(Cl)cc2Cn3ccnn3 CHEMBL2207098 8 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
[Cl-].Cc1ccc(cc1)c2ccc3CCCC(=Cc3c2)C(=O)Nc4ccc(C[N+](C)(C)C5CCOCC5)cc4 CHEMBL41275 7.75 CHEMBL651924 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
OC(=O)c1ccccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)cc3 CHEMBL1171760 7.7 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3c(O)cccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417115 7.68 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
Cc1cc(ccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(c3)C(F)(F)F)C(=O)NCCN4CCCCC4 CHEMBL1924021 7.6 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
Clc1ccc(Cn2ccnn2)c(NS(=O)(=O)c3cc(Cl)c(Cl)s3)c1 CHEMBL2207094 7.6 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ccc(F)c(c6)C(F)(F)F CHEMBL3650360 7.54 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Fc1ccc(Cn2ccnn2)c(NS(=O)(=O)c3ccc(Cl)c(Cl)c3)c1 CHEMBL2207097 7.5 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
OC(=O)c1ccccc1Oc2c(F)cc(cc2NS(=O)(=O)c3ccc(Cl)cc3)C(F)(F)F CHEMBL1171006 7.5 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ccc(Cl)c(Cl)c6 CHEMBL3650385 7.42 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Clc1cnc(Oc2ccc(cc2)C(=O)NCCN3CCNCC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL1924006 7.4 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 7.3 CHEMBL655698 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2001_11_16_2177
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 7.3 CHEMBL655687 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Clc1ccc(Cn2ccnn2)c(NS(=O)(=O)c3ccc(Cl)s3)c1 CHEMBL2207093 7.3 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Cc1ncccc1Oc2ncc(cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3)C#N CHEMBL1171035 7.3 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CS(=O)(=O)Nc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL298562 7.1 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
