CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL2207099	1446740	CHEMBL2207099	1446740		32	433.7	2.86	111.04	0	Cn1nnnc1Cc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3	12183002	Ki	=	25.12	nM	7.6	pKi	=	7.6				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	882642	CHEMBL2213079	B	Binding affinity to CCR2 by 35S-gamma-GTP membrane assay	1	Scientific Literature				Autocuration	BAO_0000019	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			66908	CHEMBL2202966	23079519	Bioorg. Med. Chem. Lett.	2012	22	23	7252			
CHEMBL376981	351338	CHEMBL376981	351338		5	336.17	4.92	62.46	0	OC(=O)c1cc2cc(O)ccc2n1Cc3ccc(Cl)c(Cl)c3	1741534	Ki	=	29	nM	7.54	Ki	=	29	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	375682	CHEMBL863683	B	Displacement of [125I]MCP1 from human CCR2 expressed in CHO cells	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	31438	CHEMBL1138921	16698264	Bioorg. Med. Chem. Lett.	2006	16	14	3735	449	CHEMBL3308072	CHO
CHEMBL3650359	1983157	CHEMBL3650359	1983157		14	525.58	3.3	54.04	1	CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccc6F)C(F)(F)F	15799791	Ki	=	31	nM	7.51	Ki	=	31	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528545	CHEMBL3706065	B	BindingDB_Patents: Radioligand Binding Assay. Radioligand binding assays were performed in CHO cells expressing human CCR2B and GalphaÂ±16 coupling protein. All compounds were dissolved in DMSO and assays run at a final DMSO concentration of 0.5% (v/v). [125I]-labeled human MCP-1 was purchased from PerkinElmer. Unlabelled human MCP-1 was purchased from PeproTech.Compounds were serially diluted in DMSO before diluting into assay buffer (25 mM HEPES, pH 7.4, 5 mM MgCl2, 1 mM CaCl2, 0.5% BSA) with cryo preserved CHO cells expressing human CCR2B and the GalphaÂ±16 coupling protein (30x103/well) and [125I]-MCP-1 (50 pM). The reaction was incubated at room temperature for 90 minutes before transferring to GF/C filter membrane (PerkinElmer) pre-treated with 0.3% polyethyleneimine for 2 hours at 4 C. The filter membrane was washed six times with ice cold wash buffer (25 mM HEPES, pH 7.4, 5 mM MgCl2, 1 mM CaCl2, 500 mM NaCl, 0.01% (m/v) azide), dried, and sealed in a RLB sample bag (Agilent Technologies).	37	BindingDB Database				Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			94621	CHEMBL3638389			2014						
CHEMBL2207080	1446721	CHEMBL2207080	1446721		13	458.75	4.22	98.15	0	Clc1ccc(Cn2nnnc2C3CC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1	12183005	Ki	=	31.62	nM	7.5	pKi	=	7.5				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	882642	CHEMBL2213079	B	Binding affinity to CCR2 by 35S-gamma-GTP membrane assay	1	Scientific Literature				Autocuration	BAO_0000019	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			66908	CHEMBL2202966	23079519	Bioorg. Med. Chem. Lett.	2012	22	23	7252			
CHEMBL71707	109611	CHEMBL71707	109611		8	552.53	7.24	68.36	2	Oc1ccc2[nH]cc([C@@H]3C[C@H]4CC[C@@H](C3)N4C[C@@H]5CC[C@@H](CC5)NC(=O)\C=C\c6ccc(Cl)c(Cl)c6)c2c1	738644	Ki	=	40	nM	7.4	Ki	=	40	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	41906	CHEMBL655697	B	Binding affinity for C-C chemokine receptor type 2B was determined	1	Scientific Literature				Autocuration	BAO_0000357	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			4373	CHEMBL1133914	11514164	Bioorg. Med. Chem. Lett.	2001	11	16	2177			
CHEMBL3650397	1983195	CHEMBL3650397	1983195		52	589.61	4.57	45.25	1	CO[C@@H]1COCC[C@@H]1N(C)[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccc6C(F)(F)F)C(F)(F)F	15799852	Ki	=	49	nM	7.31	Ki	=	49	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528545	CHEMBL3706065	B	BindingDB_Patents: Radioligand Binding Assay. Radioligand binding assays were performed in CHO cells expressing human CCR2B and GalphaÂ±16 coupling protein. All compounds were dissolved in DMSO and assays run at a final DMSO concentration of 0.5% (v/v). [125I]-labeled human MCP-1 was purchased from PerkinElmer. Unlabelled human MCP-1 was purchased from PeproTech.Compounds were serially diluted in DMSO before diluting into assay buffer (25 mM HEPES, pH 7.4, 5 mM MgCl2, 1 mM CaCl2, 0.5% BSA) with cryo preserved CHO cells expressing human CCR2B and the GalphaÂ±16 coupling protein (30x103/well) and [125I]-MCP-1 (50 pM). The reaction was incubated at room temperature for 90 minutes before transferring to GF/C filter membrane (PerkinElmer) pre-treated with 0.3% polyethyleneimine for 2 hours at 4 C. The filter membrane was washed six times with ice cold wash buffer (25 mM HEPES, pH 7.4, 5 mM MgCl2, 1 mM CaCl2, 500 mM NaCl, 0.01% (m/v) azide), dried, and sealed in a RLB sample bag (Agilent Technologies).	37	BindingDB Database				Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			94621	CHEMBL3638389			2014						
CHEMBL3650347	1983145	CHEMBL3650347	1983145		2	508.58	2.48	66.93	1	CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccn6)C(F)(F)F	15799773	Ki	=	60	nM	7.22	Ki	=	60	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528545	CHEMBL3706065	B	BindingDB_Patents: Radioligand Binding Assay. Radioligand binding assays were performed in CHO cells expressing human CCR2B and GalphaÂ±16 coupling protein. All compounds were dissolved in DMSO and assays run at a final DMSO concentration of 0.5% (v/v). [125I]-labeled human MCP-1 was purchased from PerkinElmer. Unlabelled human MCP-1 was purchased from PeproTech.Compounds were serially diluted in DMSO before diluting into assay buffer (25 mM HEPES, pH 7.4, 5 mM MgCl2, 1 mM CaCl2, 0.5% BSA) with cryo preserved CHO cells expressing human CCR2B and the GalphaÂ±16 coupling protein (30x103/well) and [125I]-MCP-1 (50 pM). The reaction was incubated at room temperature for 90 minutes before transferring to GF/C filter membrane (PerkinElmer) pre-treated with 0.3% polyethyleneimine for 2 hours at 4 C. The filter membrane was washed six times with ice cold wash buffer (25 mM HEPES, pH 7.4, 5 mM MgCl2, 1 mM CaCl2, 500 mM NaCl, 0.01% (m/v) azide), dried, and sealed in a RLB sample bag (Agilent Technologies).	37	BindingDB Database				Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			94621	CHEMBL3638389			2014						
CHEMBL3650384	1983182	CHEMBL3650384	1983182		39	532.6	2.97	77.83	1	CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ccc(C#N)c(c6)C(F)(F)F	15799831	Ki	=	66	nM	7.18	Ki	=	66	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528545	CHEMBL3706065	B	BindingDB_Patents: Radioligand Binding Assay. Radioligand binding assays were performed in CHO cells expressing human CCR2B and GalphaÂ±16 coupling protein. All compounds were dissolved in DMSO and assays run at a final DMSO concentration of 0.5% (v/v). [125I]-labeled human MCP-1 was purchased from PerkinElmer. Unlabelled human MCP-1 was purchased from PeproTech.Compounds were serially diluted in DMSO before diluting into assay buffer (25 mM HEPES, pH 7.4, 5 mM MgCl2, 1 mM CaCl2, 0.5% BSA) with cryo preserved CHO cells expressing human CCR2B and the GalphaÂ±16 coupling protein (30x103/well) and [125I]-MCP-1 (50 pM). The reaction was incubated at room temperature for 90 minutes before transferring to GF/C filter membrane (PerkinElmer) pre-treated with 0.3% polyethyleneimine for 2 hours at 4 C. The filter membrane was washed six times with ice cold wash buffer (25 mM HEPES, pH 7.4, 5 mM MgCl2, 1 mM CaCl2, 500 mM NaCl, 0.01% (m/v) azide), dried, and sealed in a RLB sample bag (Agilent Technologies).	37	BindingDB Database				Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			94621	CHEMBL3638389			2014						
CHEMBL131243	217296	CHEMBL131243	217296		3	480.64	6.02	41.57	1	CN(Cc1ccc(NC(=O)C2=Cc3cc(ccc3CCC2)c4ccc(C)cc4)cc1)C5CCOCC5	1237782	Ki	=	69.18	nM	7.16	Log Ki	=	-7.16				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	41898	CHEMBL857784	B	Binding affinity of compound (10 uM) towards WT receptor variant (mutant C-C chemokine receptor type 2) using radioligand [125I]MCP-1 in HEK 293 cells	1	Scientific Literature				Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			17190	CHEMBL1145994	12954060	J. Med. Chem.	2003	46	19	4070	722	CHEMBL3307715	HEK293
CHEMBL2207084	1446725	CHEMBL2207084	1446725		17	432.71	3.47	98.15	0	Cc1nnnn1Cc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3	12183010	Ki	=	79.43	nM	7.1	pKi	=	7.1				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	882638	CHEMBL2213075	F	Antagonist activity at CCR2 assessed as inhibition of CCL2-stimulated THP-1 cell chemotaxis in presence of 1% human serum	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	66908	CHEMBL2202966	23079519	Bioorg. Med. Chem. Lett.	2012	22	23	7252			
CHEMBL400698	423128	CHEMBL400698	423128		2	526.5	6.72	68.36	2	Oc1ccc2[nH]cc(C3CCN(C[C@@H]4CC[C@@H](CC4)NC(=O)\C=C\c5ccc(Cl)c(Cl)c5)CC3)c2c1	2078163	Ki	=	79.43	nM	7.1	Log Ki	=	-7.1				1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	462279	CHEMBL946042	F	Antagonist activity at human CCR2 receptor	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	38297	CHEMBL1141481	18226895	Bioorg. Med. Chem. Lett.	2008	18	4	1450			
CHEMBL2207080	1446721	CHEMBL2207080	1446721		13	458.75	4.22	98.15	0	Clc1ccc(Cn2nnnc2C3CC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1	12183015	Ki	=	100	nM	7	pKi	=	7				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	882639	CHEMBL2213076	F	Antagonist activity at CCR2 assessed as inhibition of CCL2-stimulated THP-1 cell chemotaxis in presence of 0.1% human serum	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	66908	CHEMBL2202966	23079519	Bioorg. Med. Chem. Lett.	2012	22	23	7252			
CHEMBL432713	78315	CHEMBL432713	78315		1	500.46	6.32	68.36	2	Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1	1228989	Ki	=	100	nM	7	Log Ki	=	-7				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	41898	CHEMBL857784	B	Binding affinity of compound (10 uM) towards WT receptor variant (mutant C-C chemokine receptor type 2) using radioligand [125I]MCP-1 in HEK 293 cells	1	Scientific Literature				Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			17190	CHEMBL1145994	12954060	J. Med. Chem.	2003	46	19	4070	722	CHEMBL3307715	HEK293
CHEMBL400698	423128	CHEMBL400698	423128		5b	526.5	6.72	68.36	2	Oc1ccc2[nH]cc(C3CCN(C[C@@H]4CC[C@@H](CC4)NC(=O)\C=C\c5ccc(Cl)c(Cl)c5)CC3)c2c1	739801	Ki	=	126	nM	6.9	Ki	=	126	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	41907	CHEMBL655698	B	Inhibition of [125I]MCP-1 binding to the cloned C-C chemokine receptor type 2B expressed in CHO cells	1	Scientific Literature				Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			4373	CHEMBL1133914	11514164	Bioorg. Med. Chem. Lett.	2001	11	16	2177	449	CHEMBL3308072	CHO
CHEMBL3359300	1823467	CHEMBL3359300	1823467		19	503.56	4.05	81.67	1	Oc1ccc(cc1)C2CCC(CC2)N3CCC(CC3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F	14981163	Ki	=	139	nM	6.86	Ki	=	139	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	1437228	CHEMBL3383568	B	Displacement of [125I]CCL2 from CCR2 in human U2OS cell membranes by radioligand displacement assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	89818	CHEMBL3351763	25453791	Bioorg. Med. Chem. Lett.	2014	24	23	5377			
CHEMBL1169824	648477	CHEMBL1169824	648477		22	403.84	4.17	101.08	0	OC(=O)c1ccccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccccc3	3354686	Ki	=	158.49	nM	6.8	pKi	=	6.8				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	640105	CHEMBL1174375	F	Antagonist activity at human CCR2 expressed in CHO cells assessed as inhibition of MCP1-induced [35S]-GTPgammaS binding after 3 hrs	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	9	Protein	7tm_1	high	51632	CHEMBL1177762	20627722	Bioorg. Med. Chem. Lett.	2010	20	13	3961	449	CHEMBL3308072	CHO
CHEMBL134074	217337	CHEMBL134074	217337		2	417.5	3.82	67.6	0	Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1	1259502	Ki	=	208.93	nM	6.68	Log Ki	=	-6.68				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	41899	CHEMBL655691	B	Binding displacement of [125I]MCP-1 (0.14 nM) was measured on CHO cell membranes expressing human CCR2 (C-C chemokine receptor type 2)	1	Scientific Literature				Autocuration	BAO_0000019	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			17190	CHEMBL1145994	12954060	J. Med. Chem.	2003	46	19	4070			
CHEMBL134074	217337	CHEMBL134074	217337		2	417.5	3.82	67.6	0	Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1	1259504	Ki	=	218.78	nM	6.66	Log Ki	=	-6.66				0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	41898	CHEMBL857784	B	Binding affinity of compound (10 uM) towards WT receptor variant (mutant C-C chemokine receptor type 2) using radioligand [125I]MCP-1 in HEK 293 cells	1	Scientific Literature				Autocuration	BAO_0000219	11575	CHEMBL4015	SINGLE PROTEIN	P41597	C-C chemokine receptor type 2	Homo sapiens	8	Homologous protein			17190	CHEMBL1145994	12954060	J. Med. Chem.	2003	46	19	4070	722	CHEMBL3307715	HEK293
